status,sumup_nom,occurrences,score,variant_id,variant_nom,variant_type,variant_prix_cts
AUTO,MARTINI CONSO,36,100.0,105,MARTINI CONSO,boisson,500
AUTO,MAFE POISSON FUME,35,94.11764705882354,18,MAFE POISSON FUMÉ,plat,1800
AUTO,GOMBO POISSON FUME,35,94.44444444444444,9,GOMBO POISSON FUMÉ,plat,1800
AUTO,Redbull,30,100.0,128,Redbull,boisson,400
AUTO,BROCHETTES DE CREVETTES,30,100.0,43,BROCHETTES DE CREVETTES,plat,1000
AUTO,SOLE PM,28,100.0,56,SOLE PM,plat,2500
AUTO,Rognon sautée 15€,24,100.0,48,Rognon sautée,plat,1500
AUTO,MOET,21,100.0,108,COUPE MOET,boisson,1000
AUTO,PELFORT,19,100.0,82,GRANDE PELFORT,boisson,700
AUTO,LEGUMES SAUTES CREVETTES,18,100.0,24,LEGUMES SAUTES CREVETTES,plat,1500
AUTO,NDOLE POISSON FRIT,17,100.0,12,NDOLE POISSON FRIT,plat,2000
AUTO,MOELLEUX,17,100.0,116,MOELLEUX,boisson,1500
AUTO,CUISSES DE POULET,16,100.0,40,CUISSES DE POULET,plat,1000
AUTO,BLACK LABEL,15,100.0,94,1/2 BLACK LABEL,boisson,3000
AUTO,1/4 BLACK LABEL,15,100.0,95,1/4 BLACK LABEL,boisson,1500
AUTO,Vin 30€,14,100.0,120,Vin 30€,boisson,3000
AUTO,COUPE MOET,14,100.0,108,COUPE MOET,boisson,1000
AUTO,1/4 JACK DANIEL'S,14,100.0,89,1/4 JACK DANIEL'S,boisson,1500
AUTO,Oeuf,13,100.0,62,Oeuf,plat,50
AUTO,1/4 CHIVAS,13,100.0,92,1/4 CHIVAS,boisson,1500
AUTO,1/2 BlACK LABEL,13,93.33333333333333,94,1/2 BLACK LABEL,boisson,3000
NO_MATCH,Pelfort,12,0,,,,
AUTO,1/2 JACK DANIEL'S,12,100.0,88,1/2 JACK DANIEL'S,boisson,3000
AUTO,1/2 CHIVAS,12,100.0,91,1/2 CHIVAS,boisson,3000
AUTO,PISTACHE ROYAL,11,100.0,22,PISTACHE ROYAL,plat,2000
AUTO,JACK DANIEL,11,100.0,87,JACK DANIEL,boisson,6000
AUTO,DG,11,100.0,50,DG,plat,3000
AUTO,SALADE MAISON,10,100.0,61,SALADE MAISON,plat,1500
AUTO,LEGUMES ROYAL,10,100.0,27,LEGUMES ROYAL,plat,2000
AUTO,Suppléments 10€,9,93.33333333333333,64,Supplements 10€,plat,1000
AUTO,KONDRE,9,100.0,30,KONDRE,plat,2500
AUTO,5 BROCHETTES DE CREVETTES,9,100.0,43,BROCHETTES DE CREVETTES,plat,1000
AUTO,COUPE VEUVE CLICOT,8,100.0,110,COUPE VEUVE CLICOT,boisson,1000
NO_MATCH,Prunes 10€,7,0,,,,
AUTO,Nicola,7,100.0,112,Nicola,boisson,5000
AUTO,GRANDE PELFORT,7,100.0,82,GRANDE PELFORT,boisson,700
AUTO,CHIVAS,7,100.0,91,1/2 CHIVAS,boisson,3000
AUTO,JB,6,100.0,98,JB,boisson,5000
AUTO,VODKA,5,100.0,102,VODKA,boisson,5000
AUTO,SALADE AVOCATS,5,100.0,60,SALADE AVOCATS,plat,1800
NO_MATCH,Prunes 5€,5,0,,,,
INCERTAIN,PETIT VIN,5,76.92307692307692,129,PETIT CD,boisson,500
AUTO,MARTINI,5,100.0,105,MARTINI CONSO,boisson,500
NO_MATCH,BEAUFORT,5,0,,,,
AUTO,BALLEYS,5,100.0,100,BALLEYS,boisson,5000
AUTO,Ruinart B2B,4,100.0,111,Ruinart B2B,boisson,15000
VERIFIER,1/2 PLAT AILES,4,83.33333333333333,39,DEMI PLAT AILES,plat,500
NO_MATCH,Ndole poisson frit,3,0,,,,
AUTO,Gésier 15€,3,100.0,49,Gésier,plat,1500
VERIFIER,BROCHETTES DE GESIER,3,78.78787878787878,43,BROCHETTES DE CREVETTES,plat,1000
AUTO,SAUCE JAUNE VIANDE,2,100.0,32,SAUCE JAUNE VIANDE,plat,1500
AUTO,SAUCE JAUNE ROYAL,2,100.0,34,SAUCE JAUNE ROYAL,plat,2000
VERIFIER,SAUCE JAUNE P FUME,2,80.95238095238095,33,SAUCE JAUNE POISSON FUMÉ,plat,1800
NO_MATCH,Salade,2,0,,,,
AUTO,Rognon sautée 20€,2,100.0,48,Rognon sautée,plat,1500
NO_MATCH,Ragoût viande,2,0,,,,
NO_MATCH,MECHOUI CHEVRE,2,0,,,,
NO_MATCH,Formule champagne,2,0,,,,
AUTO,Beignet haricot viande,2,100.0,63,Beignet haricot,plat,1000
AUTO,Beignet haricot,2,100.0,63,Beignet haricot,plat,1000
AUTO,1/2 VODKA,2,100.0,102,VODKA,boisson,5000
AUTO,LEGUMES SAUTES POISSON FUME,1,96.29629629629629,26,LEGUMES SAUTES POISSON FUMÉ,plat,2000
AUTO,1/2 DG,1,100.0,50,DG,plat,3000
